train_loss,epoch,step,val_loss
10.467247009277344,0,49,
9.93190860748291,0,99,
7.942815780639648,0,149,
5.8032050132751465,0,199,
4.499480247497559,0,249,
4.445779323577881,0,299,
3.6258463859558105,0,349,
,0,380,3.497530460357666
3.3804235458374023,1,399,
3.209017515182495,1,449,
2.931509017944336,1,499,
3.111504077911377,1,549,
2.9721298217773438,1,599,
2.792494297027588,1,649,
2.9969751834869385,1,699,
2.9595749378204346,1,749,
,1,761,2.890507698059082
2.8585309982299805,2,799,
2.626537799835205,2,849,
2.6924519538879395,2,899,
2.6852078437805176,2,949,
2.4478087425231934,2,999,
2.7725400924682617,2,1049,
2.287050247192383,2,1099,
,2,1142,2.6629512310028076
2.5777366161346436,3,1149,
2.388185739517212,3,1199,
2.5018234252929688,3,1249,
2.4901366233825684,3,1299,
2.45609188079834,3,1349,
2.661954402923584,3,1399,
2.2954635620117188,3,1449,
2.632715940475464,3,1499,
,3,1523,2.536703586578369
2.2500646114349365,4,1549,
2.1442363262176514,4,1599,
2.338599920272827,4,1649,
2.3192994594573975,4,1699,
2.29972243309021,4,1749,
2.1742935180664062,4,1799,
2.3510735034942627,4,1849,
2.309288263320923,4,1899,
,4,1904,2.4440038204193115
2.1213302612304688,5,1949,
2.0851476192474365,5,1999,
2.2569873332977295,5,2049,
2.3360629081726074,5,2099,
2.2371301651000977,5,2149,
1.9646214246749878,5,2199,
2.3152551651000977,5,2249,
,5,2285,2.387669801712036
2.402475118637085,6,2299,
2.050231456756592,6,2349,
2.5691332817077637,6,2399,
2.1357927322387695,6,2449,
2.15423846244812,6,2499,
2.038262367248535,6,2549,
2.006181478500366,6,2599,
2.4534218311309814,6,2649,
,6,2666,2.3325960636138916
2.15850567817688,7,2699,
1.9535139799118042,7,2749,
2.052541971206665,7,2799,
2.0656867027282715,7,2849,
1.9249999523162842,7,2899,
2.265925168991089,7,2949,
2.132763624191284,7,2999,
,7,3047,2.291736364364624
2.1655638217926025,8,3049,
2.0812504291534424,8,3099,
2.101377248764038,8,3149,
2.0902087688446045,8,3199,
2.1133198738098145,8,3249,
2.0267038345336914,8,3299,
2.5218396186828613,8,3349,
2.0124611854553223,8,3399,
,8,3428,2.2543747425079346
1.967211365699768,9,3449,
1.8516845703125,9,3499,
1.943798542022705,9,3549,
1.9391556978225708,9,3599,
1.9710109233856201,9,3649,
1.705941081047058,9,3699,
2.328813314437866,9,3749,
2.053163766860962,9,3799,
,9,3809,2.2326738834381104
1.926076889038086,10,3849,
2.3067359924316406,10,3899,
2.057159900665283,10,3949,
2.2213246822357178,10,3999,
1.8879719972610474,10,4049,
1.9754561185836792,10,4099,
2.0586111545562744,10,4149,
,10,4190,2.213247776031494
1.7747629880905151,11,4199,
1.9325149059295654,11,4249,
2.0175156593322754,11,4299,
1.8909671306610107,11,4349,
2.063802480697632,11,4399,
1.8164039850234985,11,4449,
2.031416416168213,11,4499,
1.8229925632476807,11,4549,
,11,4571,2.198361396789551
1.7139949798583984,12,4599,
2.0216424465179443,12,4649,
1.89780592918396,12,4699,
1.7991142272949219,12,4749,
1.9790236949920654,12,4799,
2.035160779953003,12,4849,
1.810969352722168,12,4899,
1.9636163711547852,12,4949,
,12,4952,2.1756184101104736
1.8739538192749023,13,4999,
1.76743745803833,13,5049,
1.889077067375183,13,5099,
2.1047699451446533,13,5149,
1.7538074254989624,13,5199,
1.8167383670806885,13,5249,
1.9279264211654663,13,5299,
,13,5333,2.165802001953125
2.1004204750061035,14,5349,
1.6034655570983887,14,5399,
1.7270991802215576,14,5449,
1.743586778640747,14,5499,
1.9677411317825317,14,5549,
1.7743748426437378,14,5599,
2.120497941970825,14,5649,
1.58182954788208,14,5699,
,14,5714,2.1689393520355225
1.5982586145401,15,5749,
1.623810887336731,15,5799,
1.6740645170211792,15,5849,
1.7266623973846436,15,5899,
1.6667243242263794,15,5949,
1.6217213869094849,15,5999,
1.4176723957061768,15,6049,
,15,6095,2.148054361343384
1.537163257598877,16,6099,
1.7694717645645142,16,6149,
1.5989707708358765,16,6199,
1.6027274131774902,16,6249,
1.7089087963104248,16,6299,
2.0185115337371826,16,6349,
1.485299825668335,16,6399,
1.728799819946289,16,6449,
,16,6476,2.152642250061035
1.7429003715515137,17,6499,
1.6419066190719604,17,6549,
1.4346551895141602,17,6599,
1.6857584714889526,17,6649,
1.4589389562606812,17,6699,
1.6294958591461182,17,6749,
1.7754911184310913,17,6799,
1.6904170513153076,17,6849,
,17,6857,2.1534993648529053
1.5673748254776,18,6899,
1.3811744451522827,18,6949,
1.3622101545333862,18,6999,
1.5270957946777344,18,7049,
1.7251174449920654,18,7099,
1.6600347757339478,18,7149,
1.371363878250122,18,7199,
,18,7238,2.1493446826934814
1.3422285318374634,19,7249,
1.6123571395874023,19,7299,
1.3701941967010498,19,7349,
1.2782179117202759,19,7399,
1.6845608949661255,19,7449,
1.612587809562683,19,7499,
1.5055525302886963,19,7549,
1.5591840744018555,19,7599,
,19,7619,2.153374433517456
1.3006200790405273,20,7649,
1.5290799140930176,20,7699,
1.5482548475265503,20,7749,
1.4244836568832397,20,7799,
1.3154362440109253,20,7849,
1.3261977434158325,20,7899,
1.4025945663452148,20,7949,
1.5574411153793335,20,7999,
,20,8000,2.1688547134399414
1.3099271059036255,21,8049,
1.3002630472183228,21,8099,
1.3223928213119507,21,8149,
1.3782354593276978,21,8199,
1.6669158935546875,21,8249,
1.420754075050354,21,8299,
1.473458170890808,21,8349,
,21,8381,2.1804468631744385
1.308574914932251,22,8399,
1.2515054941177368,22,8449,
1.3043136596679688,22,8499,
1.311525583267212,22,8549,
1.4931608438491821,22,8599,
1.268603801727295,22,8649,
1.4608535766601562,22,8699,
1.3102519512176514,22,8749,
,22,8762,2.191636800765991
1.4037832021713257,23,8799,
1.4296520948410034,23,8849,
1.1289540529251099,23,8899,
1.2995244264602661,23,8949,
1.3307512998580933,23,8999,
1.1273730993270874,23,9049,
1.1059352159500122,23,9099,
,23,9143,2.225040912628174
1.3303163051605225,24,9149,
1.1290454864501953,24,9199,
1.2952097654342651,24,9249,
1.1463476419448853,24,9299,
1.3842524290084839,24,9349,
1.2102755308151245,24,9399,
1.283211588859558,24,9449,
1.059027910232544,24,9499,
,24,9524,2.232527017593384
1.1363242864608765,25,9549,
1.2657434940338135,25,9599,
1.1635395288467407,25,9649,
1.37676203250885,25,9699,
1.1760108470916748,25,9749,
1.1587026119232178,25,9799,
1.0312042236328125,25,9849,
1.2620024681091309,25,9899,
,25,9905,2.2472825050354004
1.021944284439087,26,9949,
1.2628812789916992,26,9999,
0.9693418741226196,26,10049,
1.0661497116088867,26,10099,
1.0959389209747314,26,10149,
0.9937332272529602,26,10199,
1.0535773038864136,26,10249,
,26,10286,2.276517152786255
1.093652606010437,27,10299,
1.10882568359375,27,10349,
1.2849996089935303,27,10399,
0.9356958866119385,27,10449,
1.1403602361679077,27,10499,
0.9944929480552673,27,10549,
1.154278039932251,27,10599,
1.2043582201004028,27,10649,
,27,10667,2.312790870666504
0.8986185193061829,28,10699,
0.8745135068893433,28,10749,
0.9075406193733215,28,10799,
1.0248180627822876,28,10849,
1.1234385967254639,28,10899,
0.8919993042945862,28,10949,
1.0635737180709839,28,10999,
,28,11048,2.3355400562286377
0.9543793797492981,29,11049,
1.0730160474777222,29,11099,
1.0173007249832153,29,11149,
